TYPE,PRICE,BEDS,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Condo for sale,880000,4,2400,"120-10 Ketch Ct, College Point, NY 11356, USA",40.7934553,-73.8471618
Co-op for sale,369888,2,2184.207862,"120 Queens Blvd #98, Rego Park, NY 11374, USA",40.726843,-73.85458
Co-op for sale,500000,2,2184.207862,"465 Park Ave Apt 34e, New York, NY 10022, USA",40.7616461,-73.9701294
Multi-family home for sale,499000,4,2184.207862,"205-05 Jamaica Ave, Jamaica, NY 11423, USA",40.713904,-73.754948
House for sale,2998888,5,3800,"28-05 216th St, Bayside, NY 11360, USA",40.7782443,-73.7706926
Co-op for sale,175849,2,850,"60 Knolls Crescent #8m, Bronx, NY 10463, USA",40.879078,-73.9175196
Multi-family home for sale,499000,3,1445,"32 Barker St, Staten Island, NY 10310, USA",40.6365321,-74.1218622
Multi-family home for sale,899975,6,1952,"861 E 231st St, Bronx, NY 10466, USA",40.8906352,-73.853094
House for sale,1474000,4,2050,"71-28 Manse St, Flushing, NY 11375, USA",40.7114417,-73.8490778
House for sale,2750000,6,6300,"79 Grandview Terrace, Staten Island, NY 10308, USA",40.5462525,-74.1481727
House for sale,3999000,3,3428,"7923 11th Ave, Brooklyn, NY 11228, USA",40.6201406,-74.014486
House for sale,1288000,4,1700,"76-66 174th St, Flushing, NY 11366, USA",40.7248068,-73.7953763
Foreclosure,499000,4,1428,"719 Vermont St, Brooklyn, NY 11207, USA",40.6618245,-73.890638
House for sale,989000,4,2400,"70 Weed Ave, Staten Island, NY 10306, USA",40.5657552,-74.1051158
House for sale,650000,3,2184.207862,"827 Richmond Rd, Staten Island, NY 10304, USA",40.6071254,-74.0925892
Contingent,1999999,4,4803,"181 Androvette Ave, Staten Island, NY 10312, USA",40.5268622,-74.189752
Townhouse for sale,5990000,4,3750,"96 Bank St, New York, NY 10014, USA",40.7363228,-74.0064402
Co-op for sale,1235000,3,2184.207862,"2501 Palisade Ave Apt D2, Bronx, NY 10463, USA",40.8799728,-73.9221419
Co-op for sale,785000,1,2184.207862,"10 Park Ave #10c, New York, NY 10016, USA",40.7473555,-73.9813841
Co-op for sale,750000,3,1750,"870 Riverside Dr #5d, New York, NY 10032, USA",40.8368955,-73.9465033
Multi-family home for sale,1400000,3,2184.207862,"25-01 23rd Ave, Astoria, NY 11105, USA",40.7770879,-73.9162687
Multi-family home for sale,865000,6,2464,"910 Revere Ave, Bronx, NY 10465, USA",40.8297242,-73.8263414
Co-op for sale,324000,1,2184.207862,"35-31 85th St, Jackson Heights, NY 11372, USA",40.7512505,-73.8814433
House for sale,1100000,3,3750,"7126 Amboy Rd, Staten Island, NY 10307, USA",40.5136885,-74.2364803
Multi-family home for sale,2295000,3,2184.207862,"4415 Atlantic Ave, Brooklyn, NY 11224, USA",40.5757955,-74.009975
House for sale,8950000,4,2570,"69 Orange St, Brooklyn, NY 11201, USA",40.6990407,-73.9929045
Multi-family home for sale,1348888,3,2450,"252 Ionia Ave, Staten Island, NY 10312, USA",40.5430335,-74.182131
Co-op for sale,220000,2,850,"5620 Netherland Ave #3g, Bronx, NY 10471, USA",40.9049354,-73.9060897
Co-op for sale,185000,1,2184.207862,"789 MacDonough St #4g, Brooklyn, NY 11233, USA",40.684563,-73.914482
House for sale,499000,2,1350,"514 E 235th St, Bronx, NY 10470, USA",40.8978428,-73.8633611
Multi-family home for sale,999999,4,1980,"362 90th St, Brooklyn, NY 11209, USA",40.620076,-74.0306109
Townhouse for sale,4995000,2,2000,"51 Barrow St, New York, NY 10014, USA",40.7319679,-74.0043858
Pending,700000,2,2184.207862,"248 E 7th St, New York, NY 10009, USA",40.7235651,-73.9781799
House for sale,1180000,4,1820,"45-33 Zion St, Flushing, NY 11362, USA",40.7668584,-73.7375575
Condo for sale,609000,2,2184.207862,"132-03 Sanford Ave #3b, Flushing, NY 11355, USA",40.7550154,-73.8329807
Co-op for sale,250000,2,950,"2525 W 2nd St #2e, Brooklyn, NY 11223, USA",40.5875717,-73.9712821
House for sale,689000,3,2184.207862,"111-45 120th St, Jamaica, NY 11420, USA",40.6794706,-73.8195636
Multi-family home for sale,585000,4,2184.207862,"12-86 Augustina Ave, Far Rockaway, NY 11691, USA",40.6082787,-73.7495095
Condo for sale,109500,3,550,"1000 Clove Rd #9f, Staten Island, NY 10301, USA",40.6202645,-74.1099106
Co-op for sale,299000,3,640,"410 E 57th St #8b, New York, NY 10022, USA",40.7578323,-73.9624557
House for sale,995000,3,1987,"23 Howard Ave, Staten Island, NY 10301, USA",40.6293682,-74.0870368
Multi-family home for sale,1499000,6,3144,"338 77th St, Brooklyn, NY 11209, USA",40.629498,-74.02725
Co-op for sale,299000,2,2184.207862,"19315 37th Ave # 177, Flushing, NY 11358, USA",40.7626299,-73.78916
Co-op for sale,279000,3,550,"57 Park Terrace W #3f, New York, NY 10034, USA",40.8712698,-73.9178529
House for sale,235000,3,2184.207862,"131-16 115th Ave, Jamaica, NY 11420, USA",40.6797652,-73.8091668
Co-op for sale,17900000,6,2184.207862,"41 Central Park W #11a, New York, NY 10023, USA",40.7713789,-73.9798579
Townhouse for sale,950000,5,2288,"914 Pine St, Brooklyn, NY 11208, USA",40.6626245,-73.8680207
House for sale,859000,2,950,"149-47 26th Ave, Flushing, NY 11354, USA",40.7746518,-73.81583
House for sale,1999000,5,2000,"34-51 74th Street, Jackson Heights, NY 11372, USA",40.7518706,-73.8922741
Multi-family home for sale,1458888,8,2988,"86-84 188th St, Jamaica, NY 11423, USA",40.718209,-73.775417
House for sale,650000,5,2184.207862,"36A Rochester Ave, Brooklyn, NY 11233, USA",40.677921,-73.9277691
House for sale,1100000,4,1400,"7619 10th Ave, Brooklyn, NY 11228, USA",40.6231568,-74.0148411
Condo for sale,478900,1,554,"65-18 Austin St #2c, Rego Park, NY 11374, USA",40.7259759,-73.8599803
Condo for sale,2795000,2,965,"5th Ave, New York, NY 10003, USA",40.735321,-73.9941315
Multi-family home for sale,560000,5,2624,"45 St Pauls Ave, Staten Island, NY 10301, USA",40.6366099,-74.0778245
Multi-family home for sale,868000,3,2024,"108 Dutchess Ave, Staten Island, NY 10304, USA",40.5963657,-74.0997473
House for sale,999000,3,2184.207862,"196-11 45th Ave, Flushing, NY 11358, USA",40.7562931,-73.7849475
Multi-family home for sale,1590000,5,2184.207862,"Hawtree St, Queens, NY 11417, USA",40.6729954,-73.8373187
Co-op for sale,149000,1,375,"219 W 144th St Apt 41, New York, NY 10030, USA",40.8213094,-73.9399984
House for sale,594900,4,1355,"121-42 Laurelton Pkwy, Jamaica, NY 11422, USA",40.6824809,-73.7279494
House for sale,799000,3,2184.207862,"1462 E 23rd St, Brooklyn, NY 11210, USA",40.6146692,-73.9515915
Multi-family home for sale,985000,6,2184.207862,"145-90 222nd St, Jamaica, NY 11413, USA",40.6615069,-73.7581972
House for sale,685000,4,2625,"116-33 198th St, St. Albans, NY 11412, USA",40.6946313,-73.7540488
Contingent,479888,3,1188,"124 Hampton Pl, Staten Island, NY 10309, USA",40.549099,-74.2148258
Pending,2500000,3,2184.207862,"32 Village Rd S, Brooklyn, NY 11223, USA",40.5938747,-73.9742907
Condo for sale,355000,1,514,"961 Washington Ave #1g, Brooklyn, NY 11225, USA",40.6660348,-73.9612418
Co-op for sale,260000,2,2184.207862,"515 W 135th St #4c, New York, NY 10031, USA",40.8196151,-73.9532441
Townhouse for sale,2600000,5,4057,"65 Gates Ave, Brooklyn, NY 11238, USA",40.6846326,-73.9660028
Pending,2500000,3,2184.207862,"30 Village Rd S, Brooklyn, NY 11223, USA",40.5938803,-73.9743763
Co-op for sale,220000,1,2184.207862,"65-65 Wetherole St #4o, Rego Park, NY 11374, USA",40.725937,-73.8572908
Co-op for sale,489000,2,1549,"26910 Grand Central Pkwy #27g, Queens, NY 11005, USA",40.7577991,-73.7159564
Multi-family home for sale,1288000,5,2375,"1853 Benson Ave, Brooklyn, NY 11214, USA",40.6042803,-74.0030547
Condo for sale,200000,2,1260,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128
House for sale,625000,3,2184.207862,"64-01 Pleasantview St, Flushing, NY 11379, USA",40.7158932,-73.8820836
Condo for sale,2245000,2,1724,"171 E 84th St #3b, New York, NY 10028, USA",40.7779756,-73.9551546
House for sale,899000,3,2184.207862,"163-43 90th St, Jamaica, NY 11414, USA",40.6511946,-73.8405509
Townhouse for sale,575000,4,1330,"411 Montauk Ave., Brooklyn, NY 11208, USA",40.6683511,-73.8757315
House for sale,588888,4,1640,"187 Latimer Ave, Staten Island, NY 10314, USA",40.5986261,-74.1817717
Multi-family home for sale,650000,6,2184.207862,"3106 Mickle Ave, Bronx, NY 10469, USA",40.8719262,-73.8423808
Multi-family home for sale,899999,8,2184.207862,"375 Linden Blvd, Brooklyn, NY 11203, USA",40.6531909,-73.9453969
Co-op for sale,315000,1,850,"3531 85th St Apt 2m, Jackson Heights, NY 11372, USA",40.7520799,-73.88188
Multi-family home for sale,1599999,6,4073,"3176 Tierney Pl, Bronx, NY 10465, USA",40.813524,-73.802218
Townhouse for sale,10000000,5,5660,"45 W 95th St, New York, NY 10025, USA",40.791801,-73.9665998
House for sale,825000,4,2230,"263 Getz Ave, Staten Island, NY 10312, USA",40.5532787,-74.1649844
Contingent,795000,3,1860,"166 Bancroft Ave, Staten Island, NY 10306, USA",40.5763544,-74.1099794
House for sale,690000,3,1325,"2041 E 64th St, Brooklyn, NY 11234, USA",40.6173476,-73.9131449
House for sale,1249949,4,2720,"21 Sanford St, Staten Island, NY 10307, USA",40.5107045,-74.2389945
House for sale,799000,4,2184.207862,"921 E 98th St, Brooklyn, NY 11236, USA",40.6483188,-73.9039932
Co-op for sale,115000,3,2184.207862,"87-15 165th St #6c, Jamaica, NY 11432, USA",40.7104509,-73.7982064
House for sale,2088000,4,2394,"24-40 Little Neck Blvd, Flushing, NY 11360, USA",40.7803566,-73.771297
Condo for sale,699000,2,1766,"124- 15 Rockaway Beach Blvd #1B, Rockaway Park, NY 11694, USA",40.5771307,-73.8443159
Co-op for sale,119000,1,650,"754 Brady Ave Apt 205, Bronx, NY 10462, USA",40.8522378,-73.8655788
Multi-family home for sale,1275000,5,2184.207862,"32-58 86th St, Queens, NY 11369, USA",40.7563571,-73.8819905
Condo for sale,410000,2,2184.207862,"151-35 84th St #3m, Howard Beach, NY 11414, USA",40.6668174,-73.8499468
Co-op for sale,309900,2,900,"679 W 239th St #5j, Bronx, NY 10463, USA",40.8901764,-73.9146261
Condo for sale,435000,3,1034,"2877 Ely Ave, Bronx, NY 10469, USA",40.8690609,-73.835715
House for sale,879000,3,2184.207862,"14-11 111th St, Flushing, NY 11356, USA",40.785245,-73.8557
Co-op for sale,325000,3,622,"525 W 134th St #2e, New York, NY 10031, USA",40.8192151,-73.9544658
Multi-family home for sale,1195000,16,2184.207862,"453 42nd St, Brooklyn, NY 11232, USA",40.6502185,-74.0063562
Co-op for sale,1900000,3,2200,"160 Chambers St Apt 4, New York, NY 10007, USA",40.7159669,-74.010573
House for sale,868000,3,2184.207862,"64-04 71st St, Flushing, NY 11379, USA",40.7158631,-73.8843791
Multi-family home for sale,1770000,7,2184.207862,"924 129th St, College Point, NY 11356, USA",40.7885034,-73.8393008
Multi-family home for sale,899000,5,1480,"58-31 71st St, Maspeth, NY 11378, USA",40.7253273,-73.8900898
Pending,990000,2,960,"253 Tompkins Ave #4b, Brooklyn, NY 11216, USA",40.6900217,-73.945006
House for sale,818000,3,2184.207862,"138-38 63rd Ave, Flushing, NY 11367, USA",40.7396171,-73.8267571
House for sale,409000,4,2184.207862,"144-28 72nd Rd, Flushing, NY 11367, USA",40.726173,-73.8202303
Pending,679000,3,1474,"3719 Mermaid Ave #2b, Brooklyn, NY 11224, USA",40.574905,-74.0036857
Co-op for sale,259000,1,2184.207862,"72-81 113th St #6c, Forest Hills, NY 11375, USA",40.7199582,-73.8357232
House for sale,850000,6,2280,"62 15th St #15th, Brooklyn, NY 11215, USA",40.6681319,-73.9948468
Townhouse for sale,8750000,6,6000,"8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695
House for sale,495000,2,953,"79 Benjamin Dr, Staten Island, NY 10303, USA",40.6233738,-74.1599502
Co-op for sale,825000,2,800,"14 Prospect Park Southwest Apartment 39, Brooklyn, NY 11215, USA",40.660279,-73.978949
Co-op for sale,1075000,4,1800,"37-30 83rd St #4e, Flushing, NY 11372, USA",40.7487647,-73.8834851
House for sale,1950000,5,4000,"5501 Palisade Ave #2, Bronx, NY 10471, USA",40.9057349,-73.9111699
House for sale,6800000,7,5130,"131 Cliffwood Ave, Staten Island, NY 10304, USA",40.5956171,-74.1144559
Multi-family home for sale,7999000,20,2184.207862,"414 Riverside Dr, New York, NY 10025, USA",40.8071701,-73.9668179
Condo for sale,578000,2,900,"5715 69th Ln APT 1, Flushing, NY 11378, USA",40.7265287,-73.8933039
Condo for sale,8995000,5,4373,"135 W 52nd St PH 5, New York, NY 10019, USA",40.7620381,-73.9808958
Condo for sale,629000,3,1360,"269 Bay 8th St #2r, Brooklyn, NY 11228, USA",40.6063017,-74.0157592
Condo for sale,329900,2,993,"149-30 88th St #4d, Howard Beach, NY 11414, USA",40.6689793,-73.8476549
House for sale,1788888,4,2184.207862,"162-15 14th Ave, Flushing, NY 11357, USA",40.7892182,-73.7997874
House for sale,899000,5,2184,"39 Rene Dr, Staten Island, NY 10306, USA",40.565557,-74.1329192
Condo for sale,2150000,3,750,"163 E 71st St #1, New York, NY 10021, USA",40.7696597,-73.962084
House for sale,1290000,3,2905,"5040 Tibbett Ave, Bronx, NY 10471, USA",40.8964834,-73.899354
Co-op for sale,109000,1,2184.207862,"335 E 209th St Apt 4, Bronx, NY 10467, USA",40.8768714,-73.8742644
House for sale,545000,6,1344,"46 Lincoln Ave, Staten Island, NY 10306, USA",40.5804254,-74.1110462
Co-op for sale,307000,2,960,"629 Kappock St #2p, Bronx, NY 10463, USA",40.8802558,-73.9168342
Condo for sale,595000,1,750,"189 Loisaida Ave #9d, New York, NY 10009, USA",40.726984,-73.9769367
House for sale,1088888,5,2452,"75 4 Corners Rd, Staten Island, NY 10304, USA",40.5908557,-74.1037852
Townhouse for sale,650000,3,1912,"1077 Adee Ave, Bronx, NY 10469, USA",40.8697126,-73.8565137
Multi-family home for sale,4380000,35,15000,"8699 Bay Pkwy #16, Brooklyn, NY 11214, USA",40.599715,-73.995694
Multi-family home for sale,949999,5,1740,"109-42 Centreville St, Jamaica, NY 11417, USA",40.6778227,-73.8350282
Multi-family home for sale,879000,4,1998,"2026 Mayflower Ave, Bronx, NY 10461, USA",40.8527278,-73.833506
House for sale,850000,6,2886,"1358 Norton Dr, Far Rockaway, NY 11691, USA",40.6085633,-73.7686771
Co-op for sale,675000,2,1200,"9437 Shore Rd #1a, Brooklyn, NY 11209, USA",40.6168668,-74.0380928
House for sale,199000,2,900,"2701 Goethals Rd N d7, Staten Island, NY 10303, USA",40.6281757,-74.1797234
House for sale,395000,3,430,"56 Pine St #10e, New York, NY 10005, USA",40.7068323,-74.0083798
Co-op for sale,368000,2,2184.207862,"18-05 215th St #12h, Bayside, NY 11360, USA",40.784673,-73.775263
Multi-family home for sale,999999,5,2754,"184 Lovelace Ave, Staten Island, NY 10312, USA",40.5509337,-74.1745249
Condo for sale,374900,1,782,"2287 Johnson Ave #12b, Bronx, NY 10463, USA",40.8778771,-73.9188767
Co-op for sale,365000,2,2184.207862,"3730 83rd St Apt 2h, Jackson Heights, NY 11372, USA",40.7493341,-73.8834178
Townhouse for sale,25500000,5,2184.207862,"763 Greenwich St, New York, NY 10014, USA",40.7361176,-74.0064866
Multi-family home for sale,999000,7,3036,"784 Elton Ave, Bronx, NY 10451, USA",40.8214661,-73.9132049
House for sale,825000,3,2184.207862,"62-72 Wetherole St, Flushing, NY 11374, USA",40.7291225,-73.8672746
House for sale,889000,3,2184.207862,"6012 Delafield Ave, Bronx, NY 10471, USA",40.9086225,-73.9024315
Co-op for sale,225000,2,789,"1100 Clove Rd #2d, Staten Island, NY 10301, USA",40.6189484,-74.1071576
House for sale,799500,2,2250,"627 Rockaway St, Staten Island, NY 10307, USA",40.5017889,-74.2393231
House for sale,779000,2,2184.207862,"1947 Hendrickson St, Brooklyn, NY 11234, USA",40.6134102,-73.927727
Multi-family home for sale,1880000,7,3240,"415 72nd St, Brooklyn, NY 11209, USA",40.6327207,-74.0236917
Townhouse for sale,3000000,5,5000,"263 W 139th St, New York, NY 10030, USA",40.819079,-73.944168
Co-op for sale,480000,3,2184.207862,"3901 Independence Ave Apt 2n, Bronx, NY 10463, USA",40.8890266,-73.9131785
House for sale,820000,4,2184.207862,"150-08 Grand Central Pkwy, Jamaica, NY 11432, USA",40.7154424,-73.8098159
Co-op for sale,385000,2,800,"16034 Cross Island Pkwy 6 202, Whitestone, NY 11357, USA",40.7865407,-73.8018825
House for sale,709999,4,2184.207862,"220-45 138th Ave, Jamaica, NY 11413, USA",40.6736664,-73.7504403
House for sale,699000,3,1500,"115-11 126th St, South Ozone Park, NY 11420, USA",40.6785308,-73.8130811
Condo for sale,649000,3,1400,"1220 Ave Y, Brooklyn, NY 11235, USA",40.5895025,-73.9579253
Townhouse for sale,529000,3,1618,"23 Arielle Ln, Staten Island, NY 10314, USA",40.5781324,-74.1603451
Co-op for sale,325000,2,750,"129 E 102nd St #5b, New York, NY 10029, USA",40.78987,-73.9483335
House for sale,999000,3,1392,"1648 Marine Pkwy, Brooklyn, NY 11234, USA",40.6123969,-73.9422162
House for sale,160000,3,1064,"114-48 148th St, Jamaica, NY 11436, USA",40.6845061,-73.7950299
Condo for sale,3895000,3,1884,"70 Little W St #26b, New York, NY 10004, USA",40.7069489,-74.0169068
Co-op for sale,699000,1,2184.207862,"114 Remsen St, Brooklyn, NY 11201, USA",40.6938368,-73.9941354
Condo for sale,615000,3,1165,"Brightwater Towers East, 501 Surf Ave #18f, Brooklyn, NY 11224, USA",40.5755355,-73.9735905
Co-op for sale,249000,2,800,"12 Edgewater Park, Bronx, NY 10465, USA",40.8224877,-73.8109803
Townhouse for sale,1290000,3,1998,"1867 W 4th St, Brooklyn, NY 11223, USA",40.6021136,-73.9764056
Multi-family home for sale,850000,4,2375,"18 Salamander Ct, Staten Island, NY 10309, USA",40.5382166,-74.2235176
House for sale,588000,3,1140,"111 E Raleigh Ave, Staten Island, NY 10310, USA",40.627807,-74.11527
House for sale,1790000,4,2184.207862,"69-55 Kessel St, Flushing, NY 11375, USA",40.7143213,-73.85144
Multi-family home for sale,1175000,9,2184.207862,"32-27 92nd St, Flushing, NY 11369, USA",40.7579132,-73.8760761
House for sale,579000,4,2184.207862,"1523 Bayview Ave, Bronx, NY 10465, USA",40.8454504,-73.81776
Co-op for sale,249000,1,850,"601 Kappock St #3n, Bronx, NY 10463, USA",40.8789773,-73.916004
House for sale,2480000,3,3600,"15106 25th Ave, Whitestone, NY 11357, USA",40.7754585,-73.8125494
Multi-family home for sale,999000,4,2270,"2415 Throop Ave, Bronx, NY 10469, USA",40.8614806,-73.8513941
Co-op for sale,228500,1,750,"12335 82nd Rd Apt 7h, Kew Gardens, NY 11415, USA",40.7115099,-73.82872
Co-op for sale,305000,2,2184.207862,"164- 11 Willets Point Blvd #2, Whitestone, NY 11357, USA",40.783465,-73.7990603
Multi-family home for sale,1500000,6,3600,"344 W 121st St, New York, NY 10027, USA",40.8082664,-73.9550742
Multi-family home for sale,778000,4,2185,"126 Elizabeth St, Staten Island, NY 10310, USA",40.6308436,-74.1204059
House for sale,850000,3,1320,"151-23 12th Rd, Flushing, NY 11357, USA",40.7907048,-73.8110968
House for sale,428000,3,2184.207862,"1126 E 73rd St, Brooklyn, NY 11234, USA",40.6274951,-73.915694
Co-op for sale,639000,1,2184.207862,"45 East End Ave #5e, New York, NY 10028, USA",40.77172,-73.9467052
House for sale,835000,3,2184.207862,"4408 Flatlands Ave, Brooklyn, NY 11234, USA",40.6226706,-73.9327329
House for sale,1250000,3,1560,"28-39 213th St, Flushing, NY 11360, USA",40.7756208,-73.7758933
House for sale,1695000,5,2160,"68 74th St, Brooklyn, NY 11209, USA",40.633504,-74.034181
House for sale,502900,4,1440,"11718 Nashville Blvd, Queens, NY 11411, USA",40.6958663,-73.7450046
Multi-family home for sale,749000,4,1420,"2119 Lurting Ave, Bronx, NY 10461, USA",40.8547724,-73.8583315
Multi-family home for sale,529000,5,2248,"216 B 31st St, Far Rockaway, NY 11691, USA",40.5952037,-73.7634372
House for sale,705000,2,2184.207862,"76-22 57th Rd, Flushing, NY 11379, USA",40.727192,-73.883684
Co-op for sale,549000,1,2184.207862,"535 E 72nd St #4a, New York, NY 10021, USA",40.7662222,-73.9516342
Multi-family home for sale,7200000,3,48000,"3650 Bronx Blvd, Bronx, NY 10467, USA",40.8814635,-73.8671293
Co-op for sale,335000,2,745,"3535 82nd St Apt 24, Jackson Heights, NY 11372, USA",40.7517899,-73.88467
House for sale,599000,3,2184.207862,"312F Beach 101st St, Rockaway Park, NY 11694, USA",40.5853206,-73.8221893
Townhouse for sale,334999,1,1059,"306 Ilyssa Way, Staten Island, NY 10312, USA",40.560143,-74.1854357
Co-op for sale,295000,1,2184.207862,"3001 Henry Hudson Pkwy, Bronx, NY 10463, USA",40.883124,-73.9164633
House for sale,560000,3,2184.207862,"815 Havemeyer Ave, Bronx, NY 10473, USA",40.824234,-73.84638
Co-op for sale,549000,1,2184.207862,"535 E 72nd St #4a, New York, NY 10021, USA",40.7662222,-73.9516342
Co-op for sale,335000,2,745,"3535 82nd St Apt 24, Jackson Heights, NY 11372, USA",40.7517899,-73.88467
Townhouse for sale,334999,1,1059,"306 Ilyssa Way, Staten Island, NY 10312, USA",40.560143,-74.1854357
Co-op for sale,295000,1,2184.207862,"3001 Henry Hudson Pkwy, Bronx, NY 10463, USA",40.883124,-73.9164633
House for sale,799000,3,2279,"6911 Avenue Y, Brooklyn, NY 11234, USA",40.6131995,-73.9019711
Condo for sale,720000,3,1046,"782 Madison St #1a, Brooklyn, NY 11221, USA",40.6873745,-73.9264057
Contingent,249999,1,750,"3747 Amboy Rd #2a, Staten Island, NY 10308, USA",40.5523555,-74.1450647
House for sale,850000,3,2184.207862,"135-20 Lefferts Blvd, Jamaica, NY 11420, USA",40.6699378,-73.8213422
Multi-family home for sale,750000,3,2184.207862,"457 Van Sicklen St, Brooklyn, NY 11223, USA",40.5931071,-73.9753582
Multi-family home for sale,625000,5,2184.207862,"198 Shepherd Ave, Brooklyn, NY 11208, USA",40.679665,-73.8819497
House for sale,650000,2,896,"76-18 251st St, Jamaica, NY 11426, USA",40.7452362,-73.7204545
Townhouse for sale,4845000,9,5939,"2099 5th Ave, New York, NY 10035, USA",40.808933,-73.940052
Co-op for sale,580000,1,2184.207862,"305 W 55th St #2a, New York, NY 10019, USA",40.7657861,-73.9842196
Co-op for sale,887785,2,2184.207862,"57-5 Main St #1602, Flushing, NY 11355, USA",40.7462427,-73.8259167
Condo for sale,499999,3,701,"2362 E 13th St #2b, Brooklyn, NY 11229, USA",40.5925315,-73.9574046
Pending,599000,4,1348,"1527 Gillespie Ave #1a, Bronx, NY 10461, USA",40.84296,-73.8312695
Pending,1149000,5,2169,"48 Highland Pl, Brooklyn, NY 11208, USA",40.6841571,-73.8820567
House for sale,988000,4,2400,"4 Minna St, Staten Island, NY 10304, USA",40.5945187,-74.0904783
House for sale,764600,4,1884,"187 Greencroft Ave, Staten Island, NY 10308, USA",40.5496155,-74.1391082
Condo for sale,699900,1,2184.207862,"1125 47th Ave APT 1, Long Island City, NY 11101, USA",40.745068,-73.949763
Townhouse for sale,5495000,5,4296,"769 Carroll St, Brooklyn, NY 11215, USA",40.6729621,-73.9751283
House for sale,3900000,5,7723,"144-46 Boulevard, Malba, NY 11357, USA",40.7924222,-73.8260759
Co-op for sale,999000,2,2184.207862,"531 Main St #520, New York, NY 10044, USA",40.7617289,-73.9502411
Townhouse for sale,10495000,7,5100,"48 Garden Pl, Brooklyn, NY 11201, USA",40.6919769,-73.9967879
Co-op for sale,188000,3,2184.207862,"6011 Broadway Apt L5, Woodside, NY 11377, USA",40.7511899,-73.90201
House for sale,499900,3,1232,"40 Bunnell Ct, Staten Island, NY 10312, USA",40.5527401,-74.1995549
Co-op for sale,545000,1,2184.207862,"28 W 87th St #4a, New York, NY 10024, USA",40.7863158,-73.9702042
Condo for sale,705000,2,2184.207862,"6641 69th St # P-1, Flushing, NY 11379, USA",40.7135957,-73.8863491
House for sale,1289000,4,2184.207862,"257-03 80th Ave, Queens, NY 11004, USA",40.7445255,-73.7137434
Co-op for sale,389000,2,2184.207862,"6219 53rd Ave Apt 3p, Maspeth, NY 11378, USA",40.7317199,-73.90176
Co-op for sale,350000,2,2184.207862,"414 61st St #4a, Brooklyn, NY 11220, USA",40.6397364,-74.0186847
House for sale,1289000,4,2184.207862,"257-03 80th Ave, Queens, NY 11004, USA",40.7445255,-73.7137434
House for sale,499900,3,1232,"40 Bunnell Ct, Staten Island, NY 10312, USA",40.5527401,-74.1995549
Co-op for sale,350000,2,2184.207862,"414 61st St #4a, Brooklyn, NY 11220, USA",40.6397364,-74.0186847
Condo for sale,295000,3,2184.207862,"48 W 138th St #6f, New York, NY 10037, USA",40.8153693,-73.9384161
Multi-family home for sale,918000,4,2184.207862,"88-04 69th Rd, Forest Hills, NY 11375, USA",40.7093093,-73.8548324
Multi-family home for sale,1799000,4,3176,"100-05 69th Ave, Forest Hills, NY 11375, USA",40.7196606,-73.8507871
Multi-family home for sale,989000,4,1827,"2374 E 17th St, Brooklyn, NY 11229, USA",40.5927382,-73.9536851
Multi-family home for sale,890000,5,2144,"146 Cedar Ave, Staten Island, NY 10305, USA",40.5960203,-74.0673498
Condo for sale,469888,2,1164,"152 Tier St, Bronx, NY 10464, USA",40.8480712,-73.7861809
Co-op for sale,310000,2,2184.207862,"655 Riverside Dr #5a, New York, NY 10031, USA",40.8255972,-73.9529963
Co-op for sale,479000,1,2184.207862,"335 W 85th St #4a, New York, NY 10024, USA",40.788879,-73.9794905
House for sale,1290000,4,2184.207862,"141-03 15th Ave, Flushing, NY 11357, USA",40.7848355,-73.8276854
Townhouse for sale,4250000,3,3376,"189 Prospect Pl #1, Brooklyn, NY 11238, USA",40.6781953,-73.9702616
Townhouse for sale,7400000,4,3700,"413 Degraw St, Brooklyn, NY 11217, USA",40.6820656,-73.9903833
House for sale,899000,3,2184.207862,"46-2 190th St, Flushing, NY 11358, USA",40.7523748,-73.7900912
House for sale,16500000,2,5834,"245 W 18th St, New York, NY 10011, USA",40.7420282,-73.9997276
Co-op for sale,659000,3,1300,"3 Edgewater Park #3a, Bronx, NY 10465, USA",40.8224429,-73.8109606
House for sale,1150000,5,2184.207862,"162-31 91st St, Howard Beach, NY 11414, USA",40.6529502,-73.8400922
Multi-family home for sale,499000,5,2184.207862,"752 Rutland Rd, Brooklyn, NY 11203, USA",40.6601399,-73.9354891
House for sale,725000,3,1476,"480 Lynn St, Staten Island, NY 10306, USA",40.5582278,-74.1173549
Condo for sale,929000,3,2184.207862,"24010A Oak Park Dr # 23a, Douglaston, NY 11362, USA",40.7459681,-73.7331069
Co-op for sale,629000,2,1600,"27110 Grand Central Pkwy #22n, Queens Village, NY 11005, USA",40.7564761,-73.7212008
House for sale,285000,3,1428,"72 Holland Ave, Staten Island, NY 10303, USA",40.6384738,-74.1714633
Co-op for sale,315000,2,2184.207862,"21-48 35th St #5b, Queens, NY 11105, USA",40.7758184,-73.907993
Condo for sale,698000,2,824,"142-18 38th Ave #7d, Queens, NY 11354, USA",40.7616652,-73.826414
House for sale,849000,4,2184.207862,"87-01 Commonwealth Blvd, Jamaica, NY 11426, USA",40.7299635,-73.7195673
